"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"bg-test-data","Company Generator","","0","0","9","0","0"
"bg-test-data","Person Generator","","0","0","13","0","0"
"bg-test-data","Name Generator","","0","0","5","0","0"
"bg-test-data","Address Generator","","0","0","9","0","0"
"bg-test-data","EGN Generator","","0","0","34","0","0"
"bg-test-data","SeededRandom","","0","0","9","0","0"
"bg-test-data","CLI","","0","0","23","0","0"
"bg-test-data","EIK Generator","","0","0","12","0","0"
"bg-test-data","IBAN Generator","","0","0","17","0","0"
"bg-test-data","Export Utilities","","0","0","8","0","0"
"bg-test-data","EGN Validator","","0","0","10","0","0"
"bg-test-data","BgTestData Facade","","0","0","6","0","0"
"bg-test-data","Phone Generator","","0","0","4","0","0"
"bg-test-data","EGN Parser","","0","0","5","0","0"
